,job,link
24,[IBK투자증권] 전문사모운용본부 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13880&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
25,[한국투자신탁운용] GIS운용본부 경력직원 모집공고(~12/16),http://www.kofia.or.kr/brd/m_96/view.do?seq=13879&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
26,[한화자산운용] 재간접운용파트 경력직 채용 (사원~대리급),http://www.kofia.or.kr/brd/m_96/view.do?seq=13878&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
27,[신한대체투자운용] PE운용실 인턴 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13877&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
28,[한스프라임자산운용] 운용지원 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13876&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
29,SKS프라이빗에쿼티(주) 인턴사원 채용 공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13875&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=3
30,[템피스투자자문] AI(로보)기반 주식운용 인력 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13874&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
31,흥국자산운용(주) 대체투자본부 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13873&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
32,[한국대체투자자산운용] 부문별 경력직 채용 공고 (재업),http://www.kofia.or.kr/brd/m_96/view.do?seq=13872&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
33,[신한BNP파리바자산운용] 디지털전략팀 채용공고 (대리),http://www.kofia.or.kr/brd/m_96/view.do?seq=13871&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
